Restaurant Name,cuisine,location,avg_price,price_norm
diyalo foodland and party palace,multi cuisine,dhapasi basundhara,439.09090909090907,0.9928983731252301
dokdo sarang,korean,kupondole,849.3023255813954,0.9860129299492936
doko deli,multi cuisine,jhamsikhel,602.9354838709677,0.9901482241435532
downtown pizza,pizza,sitapaila,647.7739726027397,0.989395605240601
dragon chinese take out,chinese cuisine,marcopolo business hotel kamalpokhari,417.1951219512195,0.9932658962903155
dragon hotpot,chinese,sanepa,1031.4935064935064,0.9829548311911958
drinks ra mart,liquor,kuleshwor,299.2857142857143,0.995245018503283
drishya lounge,multi cuisine,new baneshwor,1037.5954198473282,0.9828524099128665
drop in restaurant,fast food,bhanimandal,230.60714285714286,0.9963977957834026
dum biryani and kabab paradise,indian biryani,thapagaun,308.6666666666667,0.9950875581987703
east west fast food  cafe,chinese cuisine  hong kong,gokarneswor,564.0322580645161,0.9908012190137171
easy fruits,fruits,kupondole,,
eatfit lunch,multi cuisine,new baneshwor,372.7631578947368,0.9940116916324431
edn,modern nepalese continental,sanepa,710.8181818181819,0.9883374013421368
electric pagoda bar  cafe,multi cuisine,thamel,600.8823529411765,0.9901826861691857
elegance cafe  restaurant,multi cuisine,thamel,298.34415584415586,0.9952608226639805
elements restaurant  bar,multi cuisine,baluwatar,669.7052631578947,0.9890274861468314
elixir cafe,pizza burger spaghetti grilled chicken,nayabazar,368.89830508474574,0.994076563606593
embassy restaurant  bar,japanese asian chinese indian,pani pokhari,861.9246979865771,0.9858010620576465
emilios pizza,italian cuisine,bansbari,1012.2222222222222,0.9832783017906064
erma restaurant by hotel shambala,indian  continental,basbari road maharajgunj,750.8,0.9876663021818141
european bakery,bakery,baluwatar,945.5581395348837,0.984397265658425
everfresh by nomad hotel,italian asian,lazimpat,732.3695652173913,0.9879756590312386
evoke cafe  bistro,country food,jhamshikhel lalitpur,809.16925,0.9866865679814951
express masu chiura,nepali,kamal pokhari,426.59148936170214,0.9931081772428579
express masu chiura  koteshwor,nepali,koteshwor,328.2152466367713,0.9947594331609398
express thakali,thakali  nepali,tripureshwor,470.1188811188811,0.9923775652450133
fairfield by marriot kathmandu,continental  indian  japanese,thamel,722.9166666666666,0.9881343269600247
fall and trout village fish farm hotel  restaurant,local,gongabu,842.5,0.9861271077229296
fatis  basantapur,biryani  halal,basantapur freak street,389.0,0.9937391544743384
fatis  durbarmarg,biryani  halal,durbarmarg,583.3333333333334,0.9904772483691775
fatis  pulchowk,biryani  halal,pulchowk,549.375,0.9910472426821505
feast n fizz restro,multi cuisine asian fusion,kamaladi,432.6372262773723,0.993006698892144
filli cafe,multi cuisine  halal,lazimpat,515.6666666666666,0.9916130407179728
filli cafe  labim mall,multi cuisine halal,labim mall,521.1904761904761,0.9915203229752141
filli cafe  thamel,multi cuisine halal,satghumti,479.1666666666667,0.9922256971819782
fire and ice pizzeria,italian,thamel,736.4827586206897,0.9879066186332597
fire and ice pizzeria  sanepa,italian  pizza,sanepa marg international club surendra bhawan  40,745.5072463768116,0.9877551416261877
fire pizza,pizza  italian,thamel,629.3548387096774,0.9897047724033673
fire pizza  bbq halal,pizza  halal,durbar marg,470.0,0.9923795606775045
fire pizza  boudha,pizza,boudha,453.6666666666667,0.9926537174513518
fire pizza  jyatha,pizza  italian,jyatha,557.1875,0.9909161090211904
flat iron grill,continental,thamel,523.3333333333334,0.9914843548853506
food garden,multicuisine,food garden,400.5050505050505,0.9935460409521294
food hub by h2o  basantapur,multi cuisine,basantapur,384.4791666666667,0.9938150371528139
food hub by h2o  mid baneshwor,multi cuisine,mid baneshwor,386.6083916083916,0.9937792978809271
food lord,fast food,madhya marg sankhamul new baneshwor,364.2696629213483,0.9941542558679896
food ventures restro and bar,multi cuisine,kapan budhanilkantha,481.4947674418605,0.9921866197576281
foodhub by h2o  patan,multi cuisine,krishna galli patan,397.11538461538464,0.993602936862215
foodmandu fresh,fresh groceries,sankhamul bridge,,
foreign affairs,indian,hotel ambassador lazimpat,785.2173913043479,0.9870886025309427
fort 270,multi cuisine,thasikhel,543.2546875,0.9911499727921467
french house restaurant,french  asian,dhalko bishalnagar,403.90140845070425,0.9934890327151573
frying pan restaurant,multi cuisine,bluebird mall,481.13525,0.9921926542969343
fuchhey restaurant,multi cuisine,putalisadak,274.8484848484849,0.9956552000533405
fuchhey restaurant boudha,multi cuisine  fast food,boudha,276.23762376237624,0.9956318832058064
funky buns,fast food,kupondole,318.2608695652174,0.99492651846116
fusion pizzeria,multi cuisine  pizza,phulbari boudha,519.5539906103286,0.9915477915634038
gajjabko thakali and sekuwa,sekuwa thakali fastfood,bijulibazar baneshwor,347.8776978417266,0.9944293967820657
ganga jamuna bhojanalaya  tandoori house,indian  halal,thamel,282.2295081967213,0.9955313087748399
gangaur,veg indian cuisine,kamaladi,413.7903225806452,0.9933230462175217
